Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
19150,Digital Asset Management Attributes (DAM),File Item Position,dam/general/fileItemPositionCode,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileContentInformation/fileItemPositionCode,2502,D3FIPOSCD,,N/A,O,A description of how the item is placed in the digital asset for example the item is propped (leaning against an object) or held (being held by a model).,VV/ItemPositionCode,,1,80,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19170,Digital Asset Management Attributes (DAM),File Language,dam/general/fileLanguageCode,referencedFileDetailInformationModule/referencedFileHeader/fileLanguageCode,2994,D3FLANGCD,,N/A,O,The specified language to which the digital asset is targeted.,VV/StandardLanguageCodes,,1,80,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19190,Digital Asset Management Attributes (DAM),File Name,dam/general/FileName,referencedFileDetailInformationModule/referencedFileHeader/fileName,2995,D1EXFILNM,,N/A,O,"The name of the file that contains the external information. The first 14 characters of the file name must match the GTIN of the associated trade item. If the file is an image, the name must follow the GS1 Image Standards Naming Conventions. The filename must be present if the uniformResourceIdentifier is entered.",string,,1,70,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the Definition, IM XML Name and GDSN XML Name"
19210,Digital Asset Management Attributes (DAM),File Optimal Viewer Name,dam/general/fileOptimalViewerName,referencedFileDetailInformationModule/referencedFileHeader/fileOptimalViewerName,2997,D3FLOPVNM,,N/A,O,The optimal viewer for the file that is being referenced.,string,,1,200,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19230,Digital Asset Management Attributes (DAM),File Origin Country,dam/general/fileOriginCountryCode,referencedFileDetailInformationModule/referencedFileHeader/fileOriginCountryCode,2996,D3FLOCCD,,N/A,O,The country where the digital asset originated.,VV/StandardCountryCodes,,1,3,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19250,Digital Asset Management Attributes (DAM),File Sequence Number,dam/general/fileSequenceNumber,referencedFileDetailInformationModule/referencedFileHeader/fileSequenceNumber,6257,D3EFLFSN,,N/A,O,"The order based upon the referencefileTypeCode the files should be used. Examples a 360 degree image, the images need to be ordered, or a safety data sheet where each file is 1 page and should be ordered accordingly.",integer,,1,10,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD Attribute mapping for IM 8.32
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
11/12/2020 - Added for IM 8.19"
19270,Digital Asset Management Attributes (DAM),File Size (system determined),dam/general/fileSize,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileSize,3031,D3FILSIZE,D3FLSZUOM,N/A,O,The size of the file as it is stored in an uncompressed format.  This value is automatically determined by 1WorldSync.,float,15,15,15,N/A,0..Many,UOM,InfoStorageCapacityUOM,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19290,Digital Asset Management Attributes (DAM),File Version (system determined),dam/general/fileVersion,referencedFileDetailInformationModule/referencedFileHeader/fileVersion,2998,D3FLVERS,,N/A,O,A description of the terms used by the manufacturer to denote the version of the digital asset.,string,,1,70,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19310,Digital Asset Management Attributes (DAM),Image Background,dam/general/imageBackground,N/A,N/A,D3EFLIBG,,N/A,O,Indicates the background composition of an image.,VV/DAMImageBackground,,1,75,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,,,10/4/2022,"10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
1/4/2019 - IM 8.7 release: Added new attribute"
19330,Digital Asset Management Attributes (DAM),Image Facing,dam/general/imageFacing,N/A,N/A,D3EFLIFC,,N/A,O,Indicates the facing of an image.,VV/DAMImageFacing,,1,50,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,,,10/4/2022,"10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
9/22/2022- Added note about migration in a future GDSN release.
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
1/4/2019 - IM 8.7 release: Added new attribute"
19350,Digital Asset Management Attributes (DAM),Image Orientation Type Code,dam/general/imageOrientationTypeCode,referencedFileDetailInformationModule/referencedFileHeader/﻿imageOrientationTypeCode,7195,D3GIOTC,,N/A,O,"The code that defines the orientation/plunge (i.e., camera  angle) of the item as it is being depicted in the image. (More information on these codes can be found in the GS1 Product Image Specification Standard for the naming conventions related to position 18 of the file name.)",VV/ImageOrientationTypeCodeVV,,1,80,,0..1,,,,,,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- Updated the Valid Value list to align with GDSN's planned naming convention. DOCUMENTATION CHANGE ONLY- Updated DSD information for IM 8.32
9/22/2022- Added attribute for IM 8.32 ahead of GDSN release. GDSN will add this attribute in a future release."
19370,Digital Asset Management Attributes (DAM),Image Source,dam/general/imageSource,N/A,N/A,D3EFLISR,,N/A,O,Identify the source of which company provided the image url.,VV/DAMImageSource,,1,60,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,,,10/4/2022,"10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
1/4/2019 - IM 8.7 release: Added new attribute"
19390,Digital Asset Management Attributes (DAM),Image State Code,dam/general/imageStateCode,referencedFileDetailInformationModule/referencedFileHeader/imageStateCode,7187,D3GISC,,N/A,O,The code that defines the state of the item as it is being depicted in the image. (More information on these codes can be found in  the GS1 Product Image Specification Standard for the naming conventions related to position 19 of the file name.),VV/ImageStateCodeVV,,1,80,,0..1,,,,,,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
9/22/2022- Added attribute for IM 8.32 ahead of GDSN release. GDSN will add this attribute in a future release."
19410,Digital Asset Management Attributes (DAM),Intended Publication Country,dam/general/intendedPublicationCountry,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileUsageInformation/intendedPublicationCountryCode,3063,D3IPCOCOD,,N/A,O,The country/countries in which the digital asset is designed to be used.,VV/StandardCountryCodes,,1,3,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19430,Digital Asset Management Attributes (DAM),Is File For Internal Use Only,dam/general/isFileForInternalUseOnly,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileUsageInformation/isFileForInternalUseOnly,3066,D3ISFIUSO,,N/A,O,An indicator whether or not the file is intended for internal use only and not for general publication.,VV/NonBinaryLogicCodes,,1,60,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
4/30/2020 - Errata : Corrected the  Data Type column."
19450,Digital Asset Management Attributes (DAM),Image Rendered Indicator,dam/general/isImageRendered,referencedFileDetailInformationModule/referencedFileHeader/isImageRendered,7198,D3GIIR,,N/A,O,The indicator that specifies if the image is the result of the creation of a digital likeness of a physical object with the use of a computer and software. Rendered images often do not begin with a photographic device. ,VV/booleanVV,,1,60,,0..1,,,,,,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
9/22/2022- Added attribute for IM 8.32 ahead of GDSN release. GDSN will add this attribute in a future release."
19470,Digital Asset Management Attributes (DAM),Is Talent Release On File,dam/general/isTalentReleaseOnFile,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileUsageInformation/isTalentReleaseOnFile,3067,D3ISTLREL,,N/A,O,An indicator whether or not the owner of the asset has a talent release on file.  This applies to files where talent or a model is used.,VV/NonBinaryLogicCodes,,1,60,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
4/30/2020 - Errata : Corrected the  Data Type column."
19490,Digital Asset Management Attributes (DAM),Title Text,dam/general/titleText,referencedFileDetailInformationModule/referencedFileHeader/titleText,6234,D3EFLTT,,N/A,O,"The text entered in the title tag is displayed in a popup when a user takes their mouse over to an image. The title attribute is shown along with the image, typically as a hover tooltip.",string,,1,500,N/A,0..Many,Language,StandardLanguageCodes,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD Attribute mapping for IM 8.32
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
11/12/2020 - Added for IM 8.19"
19510,Digital Asset Management Attributes (DAM),Type Of Information,dam/general/typeOfInformation,referencedFileDetailInformationModule/referencedFileHeader/referencedFileTypeCode,2999,D1TYPINFO,,N/A,M,"Code identifying the purpose of the information contained in the external file. Examples: Image of product label, marketing information, planogram.",VV/DAMReferencedFileTypeCode,,1,70,N/A,1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
5/26/16 - Updated Data Type column to show what VV list is used."
19530,Digital Asset Management Attributes (DAM),Uniform Resource Identifier (system determined),dam/general/uniformResourceIdentifier,referencedFileDetailInformationModule/referencedFileHeader/uniformResourceIdentifier,3000,D1URI,,N/A,O,"Simple text string that refers to a resource on the Internet, URLs may refer to documents, resources, people, etc. This attribute is assigned by 1WorldSync.",string,,1,512,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
7/31/2021- Added missing DSD information
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19550,Digital Asset Management Attributes (DAM),Additional Camera Angle Code,dam/imageInfo/additionalCameraAngleCode,N/A,N/A,D3EFLACAC,,N/A,O,"An additional camera angle used to take a picture of the trade item for example ZOOM_VIEW. If this attribute is not populated, the assumption is a full trade item view. Uses FileCameraPerspectiveCode code list.",VV/FileCameraPerspectiveCode,,1,80,,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,,,10/4/2022,"10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
9/1/2022- This is a duplicate line and will be removed in the next release. 
"
19570,Digital Asset Management Attributes (DAM),Additional Camera Angle Code,dam/imageInfo/additionalCameraAngleCode,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileContentInformation/additionalCameraAngleCode,3043,D3EFLACAC,,N/A,O,"An additional camera angle used to take a picture of the trade item for example ZOOM_VIEW. If this attribute is not populated, the assumption is a full trade item view. Uses FileCameraPerspectiveCode code list.",VV/FileCameraPerspectiveCode,,1,80,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
2/15/2019 - Added missing DAM attribute"
19590,Digital Asset Management Attributes (DAM),Are Fees Required for Use,dam/imageInfo/areFeesRequiredForUse,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileUsageInformation/areFeesRequiredForUse,3047,D3AFREQUS,,N/A,O,An indicator whether or not a fee is required for the use of this digital asset.,VV/NonBinaryLogicCodes,,1,60,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19610,Digital Asset Management Attributes (DAM),File Aspect Ratio,dam/imageInfo/fileAspectRatio,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileAspectRatio,3012,D3FLASPRT,,N/A,O,A description of the aspect ratio used to determine how a digital asset fits on a page or monitor.,string,,1,70,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19630,Digital Asset Management Attributes (DAM),File Background Colour Description,dam/imageInfo/fileBackgroundColourDescription,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileBackgroundColourDescription,3013,D3FBKCOLD,,N/A,O,Description of the background color.,string,,1,70,N/A,0..Many,Language,StandardLanguageCodes,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19650,Digital Asset Management Attributes (DAM),File Colour Calibration,dam/imageInfo/fileColourCalibration,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileColourCalibration,3015,D3FCOLCAL,,N/A,O,Free form text to describe the calibration of the file.,string,,1,70,N/A,0..Many,Language,StandardLanguageCodes,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
